Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,297.25,,,,,,,,,
2013,405.70000000001164,,,,,,,,,
2014,512.4,,,,,,,,,
2015,631.4,,,,,,,,,
2016,718.7,,,,,,,,,
2017,844.8,,,,,,,,,
2018,921.4466666666558,,,,,,,,,
2019,1286.7541775734005,,,,,,,,,
2020,1350.7151745701458,,,,,,,,,
2021,1417.9820671917446,,,,,,,,,
2022,1488.6093749828813,,,,,,,,,
2023,1562.7640158644085,,,,,,,,,
2024,1640.6190839777835,,,,,,,,,
2025,1722.3579610278928,,,,,,,,,
2026,1808.1776047370083,,,,,,,,,
2027,1898.28814322273,,,,,,,,,
2028,1992.9101417318418,,,,,,,,,
2029,2092.276981840236,,,,,,,,,
2030,2196.6346407802125,,,,,,,,,
2031,2306.2370899923526,,,,,,,,,
2032,2421.3549615482307,,,,,,,,,
2033,2542.282960525899,,,,,,,,,
2034,2669.336283357479,,,,,,,,,
2035,2802.8427738970336,,,,,,,,,
2036,2943.1400069455053,,,,,,,,,
2037,3090.5739262977213,,,,,,,,,
2038,3245.5041825869703,,,,,,,,,
2039,3408.3026145283648,,,,,,,,,
2040,3579.360957446703,,,,,,,,,
2041,3759.0986687217237,,,,,,,,,
2042,3947.9574629164717,,,,,,,,,
2043,4146.392451556898,,,,,,,,,
2044,4354.878283352564,,,,,,,,,
2045,4573.914330313109,,,,,,,,,
2046,4804.029273289815,,,,,,,,,
2047,5045.780177479075,,,,,,,,,
2048,5299.749833074203,,,,,,,,,
2049,5566.5501008116025,,,,,,,,,
2050,5846.82401531378,,,,,,,,,
2051,6141.249889457528,,,,,,,,,
2052,6450.538368659385,,,,,,,,,
2053,6775.430216982929,,,,,,,,,
2054,7116.701431272359,,,,,,,,,
2055,7475.169931245401,,,,,,,,,
2056,7851.70266127826,,,,,,,,,
2057,8247.217406677697,,,,,,,,,
2058,8662.682749512269,,,,,,,,,
2059,9099.12166116844,,,,,,,,,
2060,9557.612448331269,,,,,,,,,
