Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,297.25,,,,,,,,,
2013,405.70000000001164,,,,,,,,,
2014,512.4,,,,,,,,,
2015,631.4,,,,,,,,,
2016,718.7,,,,,,,,,
2017,844.8,,,,,,,,,
2018,921.4466666666558,,,,,,,,,
2019,1140.3115651754472,,,,,,,,,
2020,1171.2633063484886,,,,,,,,,
2021,1203.1625737987497,,,,,,,,,
2022,1235.9393002171057,,,,,,,,,
2023,1269.6166572285201,,,,,,,,,
2024,1304.2167839284584,,,,,,,,,
2025,1339.7638622867264,,,,,,,,,
2026,1376.2861683181925,,,,,,,,,
2027,1413.8150849558872,,,,,,,,,
2028,1452.3825087255902,,,,,,,,,
2029,1492.02220537591,,,,,,,,,
2030,1532.769162503422,,,,,,,,,
2031,1574.6560109065672,,,,,,,,,
2032,1617.7187521456017,,,,,,,,,
2033,1662.0009323251725,,,,,,,,,
2034,1707.5502101662025,,,,,,,,,
2035,1754.4126354098016,,,,,,,,,
2036,1802.6306409250542,,,,,,,,,
2037,1852.2422218751178,,,,,,,,,
2038,1903.2841602427343,,,,,,,,,
2039,1955.7909156504318,,,,,,,,,
2040,2009.798835384449,,,,,,,,,
2041,2065.3498885020263,,,,,,,,,
2042,2122.4877471903596,,,,,,,,,
2043,2181.25253490368,,,,,,,,,
2044,2241.683946780302,,,,,,,,,
2045,2303.823496338014,,,,,,,,,
2046,2367.716164595246,,,,,,,,,
2047,2433.4091517195066,,,,,,,,,
2048,2500.949931559868,,,,,,,,,
2049,2570.3872982226344,,,,,,,,,
2050,2641.771697582634,,,,,,,,,
2051,2715.1563743945494,,,,,,,,,
2052,2790.595292390195,,,,,,,,,
2053,2868.141594825635,,,,,,,,,
2054,2947.849275005877,,,,,,,,,
2055,3029.7752564539114,,,,,,,,,
2056,3113.981342762631,,,,,,,,,
2057,3200.533824667821,,,,,,,,,
2058,3289.502376865439,,,,,,,,,
2059,3380.9603954492086,,,,,,,,,
2060,3474.9842831077294,,,,,,,,,
