Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,23654.711772563536,,,,,,,,,
2013,24437.651622549492,,,,,,,,,
2014,25464.14871237068,,,,,,,,,
2015,26286.444766110868,,,,,,,,,
2016,27123.865173826507,,,,,,,,,
2017,27977.645669273013,,,,,,,,,
2018,28848.694155778725,,,,,,,,,
2019,29737.626583585636,,,,,,,,,
2020,30647.644001277306,,,,,,,,,
2021,31555.050561775246,,,,,,,,,
2022,32481.017622915904,,,,,,,,,
2023,33426.74140401917,,,,,,,,,
2024,34392.88981320104,,,,,,,,,
2025,35380.25054539131,,,,,,,,,
2026,36390.12333426508,,,,,,,,,
2027,37424.09762086918,,,,,,,,,
2028,38483.462389769615,,,,,,,,,
2029,39569.521945776076,,,,,,,,,
2030,40683.552199693826,,,,,,,,,
2031,41826.8020124561,,,,,,,,,
2032,43000.65077844967,,,,,,,,,
2033,44206.7966986694,,,,,,,,,
2034,45447.10743760705,,,,,,,,,
2035,46723.320915257515,,,,,,,,,
2036,48036.927232305134,,,,,,,,,
2037,49389.13986540353,,,,,,,,,
2038,50781.075428090226,,,,,,,,,
2039,52213.69038903309,,,,,,,,,
2040,53687.963289028936,,,,,,,,,
2041,55205.051078121345,,,,,,,,,
2042,56766.16584129957,,,,,,,,,
2043,58372.34229598753,,,,,,,,,
2044,60024.57372510282,,,,,,,,,
2045,61723.82992274137,,,,,,,,,
2046,63471.10692325643,,,,,,,,,
2047,65267.37084114462,,,,,,,,,
2048,67113.49567323775,,,,,,,,,
2049,69010.30623581832,,,,,,,,,
2050,70958.60969683339,,,,,,,,,
2051,72959.28894347805,,,,,,,,,
2052,75013.18440341069,,,,,,,,,
2053,77120.98410668633,,,,,,,,,
2054,79283.30557737673,,,,,,,,,
2055,81500.80392619238,,,,,,,,,
2056,83774.19853993645,,,,,,,,,
2057,86104.30957207335,,,,,,,,,
2058,88492.01779922345,,,,,,,,,
2059,90938.27473175741,,,,,,,,,
2060,93444.01354507137,,,,,,,,,
