Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,23930.227582741474,,,,,,,,,
2013,24855.874808876422,,,,,,,,,
2014,25946.67555385445,,,,,,,,,
2015,26889.30213214024,,,,,,,,,
2016,27836.665078380385,,,,,,,,,
2017,28788.416054893893,,,,,,,,,
2018,29743.981926931407,,,,,,,,,
2019,30702.653264782413,,,,,,,,,
2020,31666.290043319623,,,,,,,,,
2021,32608.714741080224,,,,,,,,,
2022,33549.938185754916,,,,,,,,,
2023,34489.35526917585,,,,,,,,,
2024,35425.739586854084,,,,,,,,,
2025,36358.028410002305,,,,,,,,,
2026,37285.81350818397,,,,,,,,,
2027,38209.036494630665,,,,,,,,,
2028,39127.25964188395,,,,,,,,,
2029,40040.06048714867,,,,,,,,,
2030,40947.00098040261,,,,,,,,,
2031,41847.65317695022,,,,,,,,,
2032,42741.723469488,,,,,,,,,
2033,43629.203988115376,,,,,,,,,
2034,44510.236275692616,,,,,,,,,
2035,45384.84002338183,,,,,,,,,
2036,46252.83941813142,,,,,,,,,
2037,47113.798130332856,,,,,,,,,
2038,47967.1523453151,,,,,,,,,
2039,48812.19320808712,,,,,,,,,
2040,49648.279786790314,,,,,,,,,
2041,50474.97956294708,,,,,,,,,
2042,51291.97780452612,,,,,,,,,
2043,52098.86240587671,,,,,,,,,
2044,52895.241760683806,,,,,,,,,
2045,53680.71320571551,,,,,,,,,
2046,54454.87227720928,,,,,,,,,
2047,55217.29054965676,,,,,,,,,
2048,55967.515924229825,,,,,,,,,
2049,56705.085463414944,,,,,,,,,
2050,57429.55465432702,,,,,,,,,
2051,58140.50367579418,,,,,,,,,
2052,58837.560767704985,,,,,,,,,
2053,59520.39334978039,,,,,,,,,
2054,60188.70039606588,,,,,,,,,
2055,60842.166475730315,,,,,,,,,
2056,61480.41902962695,,,,,,,,,
2057,62103.068845626665,,,,,,,,,
2058,62709.76898583736,,,,,,,,,
2059,63300.179360039714,,,,,,,,,
2060,63873.95263504137,,,,,,,,,
