Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,24232.576698968507,,,,,,,,,
2013,25087.96950593053,,,,,,,,,
2014,26120.42465051553,,,,,,,,,
2015,27013.827023012112,,,,,,,,,
2016,27922.201433326318,,,,,,,,,
2017,28844.87262954325,,,,,,,,,
2018,29780.941542760724,,,,,,,,,
2019,30729.374158923198,,,,,,,,,
2020,31691.70864337833,,,,,,,,,
2021,32641.41914454681,,,,,,,,,
2022,33598.1929744136,,,,,,,,,
2023,34561.08144455358,,,,,,,,,
2024,35528.51082014264,,,,,,,,,
2025,36499.06739137813,,,,,,,,,
2026,37471.99093878558,,,,,,,,,
2027,38446.87192426408,,,,,,,,,
2028,39422.91961985089,,,,,,,,,
2029,40399.358304867834,,,,,,,,,
2030,41375.39650351541,,,,,,,,,
2031,42350.253135107494,,,,,,,,,
2032,43323.28374961763,,,,,,,,,
2033,44294.135547677484,,,,,,,,,
2034,45262.611339234485,,,,,,,,,
2035,46228.39470470458,,,,,,,,,
2036,47190.97397134935,,,,,,,,,
2037,48149.57416700377,,,,,,,,,
2038,49103.29100500761,,,,,,,,,
2039,50051.07180017209,,,,,,,,,
2040,50991.933017198826,,,,,,,,,
2041,51925.10544478743,,,,,,,,,
2042,52849.942602126575,,,,,,,,,
2043,53765.69966873563,,,,,,,,,
2044,54671.65456478455,,,,,,,,,
2045,55567.07547700705,,,,,,,,,
2046,56451.230399923574,,,,,,,,,
2047,57323.36414577926,,,,,,,,,
2048,58182.69850640932,,,,,,,,,
2049,59028.445497541856,,,,,,,,,
2050,59859.8378535112,,,,,,,,,
2051,60676.13575998096,,,,,,,,,
2052,61476.65149600716,,,,,,,,,
2053,62260.740486489674,,,,,,,,,
2054,63027.79357176515,,,,,,,,,
2055,63777.18900621215,,,,,,,,,
2056,64508.24754560228,,,,,,,,,
2057,65220.27469381118,,,,,,,,,
2058,65912.6226181048,,,,,,,,,
2059,66584.65310788096,,,,,,,,,
2060,67235.72279830123,,,,,,,,,
