Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,23745.170573047144,,,,,,,,,
2013,24754.538238745805,,,,,,,,,
2014,25903.193009830804,,,,,,,,,
2015,26879.506682525327,,,,,,,,,
2016,27836.71115440544,,,,,,,,,
2017,28775.406318140143,,,,,,,,,
2018,29695.96498939754,,,,,,,,,
2019,30598.623431638396,,,,,,,,,
2020,31486.17462477927,,,,,,,,,
2021,32333.58738832009,,,,,,,,,
2022,33161.80122333912,,,,,,,,,
2023,33971.214335127406,,,,,,,,,
2024,34761.61934315362,,,,,,,,,
2025,35532.98227649536,,,,,,,,,
2026,36285.917469373606,,,,,,,,,
2027,37021.37836552882,,,,,,,,,
2028,37739.945601113635,,,,,,,,,
2029,38442.21311364702,,,,,,,,,
2030,39128.757685942895,,,,,,,,,
2031,39800.163169916865,,,,,,,,,
2032,40457.137332064754,,,,,,,,,
2033,41100.65097343946,,,,,,,,,
2034,41731.803421038065,,,,,,,,,
2035,42351.56608088716,,,,,,,,,
2036,42960.716883645684,,,,,,,,,
2037,43559.78462364114,,,,,,,,,
2038,44149.176970597786,,,,,,,,,
2039,44729.16692326846,,,,,,,,,
2040,45300.08968355606,,,,,,,,,
2041,45862.46851343682,,,,,,,,,
2042,46416.928512742226,,,,,,,,,
2043,46964.00052156929,,,,,,,,,
2044,47504.22860146868,,,,,,,,,
2045,48038.14135919586,,,,,,,,,
2046,48566.26027398647,,,,,,,,,
2047,49089.079914506336,,,,,,,,,
2048,49607.068387712534,,,,,,,,,
2049,50120.67879093938,,,,,,,,,
2050,50630.37488368192,,,,,,,,,
2051,51136.636130289575,,,,,,,,,
2052,51639.97771594868,,,,,,,,,
2053,52140.94215548082,,,,,,,,,
2054,52640.09222002077,,,,,,,,,
2055,53137.97057691825,,,,,,,,,
2056,53635.06262282576,,,,,,,,,
2057,54131.83193768213,,,,,,,,,
2058,54628.771469190775,,,,,,,,,
2059,55126.372417255494,,,,,,,,,
2060,55625.11183373266,,,,,,,,,
