"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Garcia, ""Relationship bet. HSR direct ops costs and speed"", UIC",,OECD90,EU27,4 - Independently Verified,2010,,0.06035911111111111,kWh/seat-km,0.08047881481481482,TWh/billion passenger-km,,75% occupancy/load factor of a train at 250 km/hr,True
UIC (2015) Rail Transport Facts and Figures,http://www.uic.org/IMG/pdf/facts_and_figures_2014_v1.0-4.pdf,EU,EU27,2 - Public Sector/ Multilateral Agency,2015,,390.0,kJ/pass-km,0.10833333342,TWh/billion passenger-km,,,False
"Marsden (2011) Review of CO2 Emission Studies of
High-Speed Rail in Europe",http://cta.ornl.gov/TRBenergy/trb_documents/2011_presentations/Marsden%20Review%20of%20CO2%20-%20Session%20118.pdf,EU,EU27,5 - Not Verified,2011,,0.03,kWh/seat-km,0.04,TWh/billion passenger-km,,"Shinkansen 700 Value, 75% occupancy/load factor of a train at 250 km/hr",True
"Marsden (2011) Review of CO2 Emission Studies of
High-Speed Rail in Europe",http://cta.ornl.gov/TRBenergy/trb_documents/2011_presentations/Marsden%20Review%20of%20CO2%20-%20Session%20118.pdf,EU,EU27,5 - Not Verified,2011,,0.0375,kWh/seat-km,0.049999999999999996,TWh/billion passenger-km,,"AVE 100, 75% occupancy/load factor of a train at 250 km/hr",True
"Marsden (2011) Review of CO2 Emission Studies of
High-Speed Rail in Europe",http://cta.ornl.gov/TRBenergy/trb_documents/2011_presentations/Marsden%20Review%20of%20CO2%20-%20Session%20118.pdf,EU,EU27,5 - Not Verified,2011,,0.0375,kWh/seat-km,0.049999999999999996,TWh/billion passenger-km,,"TGV Duplex, 75% occupancy/load factor of a train at 250 km/hr",True
"Marsden (2011) Review of CO2 Emission Studies of
High-Speed Rail in Europe",http://cta.ornl.gov/TRBenergy/trb_documents/2011_presentations/Marsden%20Review%20of%20CO2%20-%20Session%20118.pdf,EU,EU27,5 - Not Verified,2011,,0.04,kWh/seat-km,0.05333333333333334,TWh/billion passenger-km,,"TGV Reseau, 75% occupancy/load factor of a train at 250 km/hr",True
"Marsden (2011) Review of CO2 Emission Studies of
High-Speed Rail in Europe",http://cta.ornl.gov/TRBenergy/trb_documents/2011_presentations/Marsden%20Review%20of%20CO2%20-%20Session%20118.pdf,EU,EU27,5 - Not Verified,2011,,0.04,kWh/seat-km,0.05333333333333334,TWh/billion passenger-km,,"Eurostar, 75% occupancy/load factor of a train at 250 km/hr",True
IEA Future of Rail 2019,https://iea.blob.core.windows.net/assets/fb7dc9e4-d5ff-4a22-ac07-ef3ca73ac680/The_Future_of_Rail.pdf,World,World,2 - Public Sector/ Multilateral Agency,2019,,110.0,kj/pkm,0.030555555579999998,TWh/billion passenger-km,,,False
IEA Future of Rail 2019,https://iea.blob.core.windows.net/assets/fb7dc9e4-d5ff-4a22-ac07-ef3ca73ac680/The_Future_of_Rail.pdf,OECD90,North America,2 - Public Sector/ Multilateral Agency,2019,,920.0,kj/pkm,0.25555555576,TWh/billion passenger-km,,,False
IEA Future of Rail 2019,https://iea.blob.core.windows.net/assets/fb7dc9e4-d5ff-4a22-ac07-ef3ca73ac680/The_Future_of_Rail.pdf,OECD90,Europe,2 - Public Sector/ Multilateral Agency,2019,,330.0,kj/pkm,0.09166666673999999,TWh/billion passenger-km,,,False
IEA Future of Rail 2019,https://iea.blob.core.windows.net/assets/fb7dc9e4-d5ff-4a22-ac07-ef3ca73ac680/The_Future_of_Rail.pdf,,Russia,2 - Public Sector/ Multilateral Agency,2019,,200.0,kj/pkm,0.055555555599999994,TWh/billion passenger-km,,,False
IEA Future of Rail 2019,https://iea.blob.core.windows.net/assets/fb7dc9e4-d5ff-4a22-ac07-ef3ca73ac680/The_Future_of_Rail.pdf,OECD90,Japan,2 - Public Sector/ Multilateral Agency,2019,,150.0,kj/pkm,0.041666666699999994,TWh/billion passenger-km,,,False
IEA Future of Rail 2019,https://iea.blob.core.windows.net/assets/fb7dc9e4-d5ff-4a22-ac07-ef3ca73ac680/The_Future_of_Rail.pdf,India,India,2 - Public Sector/ Multilateral Agency,2019,,60.0,kj/pkm,0.016666666679999997,TWh/billion passenger-km,,,False
IEA Future of Rail 2019,https://iea.blob.core.windows.net/assets/fb7dc9e4-d5ff-4a22-ac07-ef3ca73ac680/The_Future_of_Rail.pdf,China,China,2 - Public Sector/ Multilateral Agency,2019,,30.0,kj/pkm,0.008333333339999999,TWh/billion passenger-km,,,False
