Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,146392384055.4,,,,,,,,,
2013,178906104833.4,,,,,,,,,
2014,214916076724.03366,,,,,,,,,
2015,247293713343.59998,,,,,,,,,
2016,300154483119.6515,,,,,,,,,
2017,401618889661.22577,,,,,,,,,
2018,514931410218.30945,,,,,,,,,
2019,639149823758.4075,,,,,,,,,
2020,655011085896.2184,,,,,,,,,
2021,915950611575.9752,,,,,,,,,
2022,1066406168055.4579,,,,,,,,,
2023,1223717795988.7405,,,,,,,,,
2024,1386877872433.131,,,,,,,,,
2025,1271801813831.5383,,,,,,,,,
2026,1726736905822.4712,,,,,,,,,
2027,1901501910581.4072,,,,,,,,,
2028,2078209441832.3591,,,,,,,,,
2029,2255904958527.11,,,,,,,,,
2030,2196017289017.8875,,,,,,,,,
2031,2610469513824.9746,,,,,,,,,
2032,2785465135898.017,,,,,,,,,
2033,2957739069949.076,,,,,,,,,
2034,3126431118826.04,,,,,,,,,
2035,3338048084886.068,,,,,,,,,
2036,3449607822477.5444,,,,,,,,,
2037,3602313990577.4185,,,,,,,,,
2038,3747883356839.154,,,,,,,,,
2039,3885383748365.6333,,,,,,,,,
2040,4262078496721.605,,,,,,,,,
2041,4132506566964.6187,,,,,,,,,
2042,4240349184391.0347,,,,,,,,,
2043,4336521360068.573,,,,,,,,,
2044,4420128129789.121,,,,,,,,,
2045,4679590646589.287,,,,,,,,,
2046,4546090994331.797,,,,,,,,,
2047,4586686871459.48,,,,,,,,,
2048,4611189303180.446,,,,,,,,,
2049,4618725660393.853,,,,,,,,,
2050,4538146065417.798,,,,,,,,,
2051,4579451835542.604,,,,,,,,,
2052,4530942213605.5205,,,,,,,,,
2053,4462062871799.115,,,,,,,,,
2054,4371982716864.6284,,,,,,,,,
2055,4076600310893.132,,,,,,,,,
2056,4124936040576.755,,,,,,,,,
2057,3966348704851.778,,,,,,,,,
2058,3783322311699.024,,,,,,,,,
2059,3575070437475.0386,,,,,,,,,
2060,3409798490660.9077,,,,,,,,,
