Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,146392384055.4,,,,,,,,,
2013,178906104833.4,,,,,,,,,
2014,214916076724.03366,,,,,,,,,
2015,247293713343.59998,,,,,,,,,
2016,285137376085.8,,,,,,,,,
2017,328000831137.0,,,,,,,,,
2018,373745357004.6,,,,,,,,,
2019,371094069629.43207,,,,,,,,,
2020,413617165065.0105,,,,,,,,,
2021,460050454424.1329,,,,,,,,,
2022,510548363237.11,,,,,,,,,
2023,565160812517.6807,,,,,,,,,
2024,624028511721.3755,,,,,,,,,
2025,687228305136.2114,,,,,,,,,
2026,756367978180.3041,,,,,,,,,
2027,831041712435.9701,,,,,,,,,
2028,910400541391.9817,,,,,,,,,
2029,994306813527.1389,,,,,,,,,
2030,1082586422451.0358,,,,,,,,,
2031,1174142615138.955,,,,,,,,,
2032,1269401249480.1797,,,,,,,,,
2033,1368013423574.613,,,,,,,,,
2034,1469574226662.3425,,,,,,,,,
2035,1573647112798.1025,,,,,,,,,
2036,1679773084791.0642,,,,,,,,,
2037,1787165730579.882,,,,,,,,,
2038,1894766645766.7153,,,,,,,,,
2039,2002775422798.077,,,,,,,,,
2040,2110742237337.515,,,,,,,,,
2041,2216431320146.399,,,,,,,,,
2042,2389005620920.1846,,,,,,,,,
2043,2527186367155.638,,,,,,,,,
2044,2670144491702.093,,,,,,,,,
2045,2817932869582.292,,,,,,,,,
2046,2970605374547.342,,,,,,,,,
2047,3128214251936.2656,,,,,,,,,
2048,3290807357252.125,,,,,,,,,
2049,3458429811447.2734,,,,,,,,,
2050,3631126053766.782,,,,,,,,,
2051,3808941967246.577,,,,,,,,,
2052,3991923829594.9487,,,,,,,,,
2053,4180115769993.5566,,,,,,,,,
2054,4373561740465.6987,,,,,,,,,
2055,4572305401785.837,,,,,,,,,
2056,4776389691680.646,,,,,,,,,
2057,4985859021911.387,,,,,,,,,
2058,5200762381917.289,,,,,,,,,
2059,5421151397325.167,,,,,,,,,
2060,5647078028879.216,,,,,,,,,
