Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,189620133993.45584,,,,,,,,,
2013,231734716420.90265,,,,,,,,,
2014,275647470829.9443,,,,,,,,,
2015,318725801930.4572,,,,,,,,,
2016,366751445783.48926,,,,,,,,,
2017,421451297126.1322,,,,,,,,,
2018,479294327879.1612,,,,,,,,,
2019,563502225948.0381,,,,,,,,,
2020,748973111092.2297,,,,,,,,,
2021,950440604793.4553,,,,,,,,,
2022,1166232098585.2515,,,,,,,,,
2023,1394674984001.1543,,,,,,,,,
2024,1634096652574.7,,,,,,,,,
2025,1882824495839.4253,,,,,,,,,
2026,2139185905328.8662,,,,,,,,,
2027,2401508272576.559,,,,,,,,,
2028,2668118989116.0405,,,,,,,,,
2029,2937345446480.8467,,,,,,,,,
2030,3207515036204.514,,,,,,,,,
2031,3476955149820.579,,,,,,,,,
2032,3743993178862.578,,,,,,,,,
2033,4006956514864.047,,,,,,,,,
2034,4264172549358.5225,,,,,,,,,
2035,4513968673879.541,,,,,,,,,
2036,4754672279960.639,,,,,,,,,
2037,4984610759135.353,,,,,,,,,
2038,5202111502937.217,,,,,,,,,
2039,5405501902899.7705,,,,,,,,,
2040,5593109350556.549,,,,,,,,,
2041,5763261237441.087,,,,,,,,,
2042,5914284955086.924,,,,,,,,,
2043,6044507895027.595,,,,,,,,,
2044,6152257448796.635,,,,,,,,,
2045,6235861007927.581,,,,,,,,,
2046,6293645963953.971,,,,,,,,,
2047,6323939708409.341,,,,,,,,,
2048,6325069632827.224,,,,,,,,,
2049,6295363128741.16,,,,,,,,,
2050,6233147587684.685,,,,,,,,,
2051,6136750401191.333,,,,,,,,,
2052,6004498960794.641,,,,,,,,,
2053,5834720658028.149,,,,,,,,,
2054,5625742884425.388,,,,,,,,,
2055,5375893031519.8955,,,,,,,,,
2056,5083498490845.214,,,,,,,,,
2057,4746886653934.87,,,,,,,,,
2058,4364384912322.409,,,,,,,,,
2059,3934320657541.3633,,,,,,,,,
2060,3455021281125.27,,,,,,,,,
