Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,189620133993.45584,,,,,,,,,
2013,231734716420.90265,,,,,,,,,
2014,275647470829.9443,,,,,,,,,
2015,318725801930.4572,,,,,,,,,
2016,366751445783.48926,,,,,,,,,
2017,421451297126.1322,,,,,,,,,
2018,479294327879.1612,,,,,,,,,
2019,874239369120.5967,,,,,,,,,
2020,1033434584110.6487,,,,,,,,,
2021,1198921775678.8513,,,,,,,,,
2022,1369261742406.272,,,,,,,,,
2023,1543015282873.9775,,,,,,,,,
2024,1718743195663.0356,,,,,,,,,
2025,1895006279354.5132,,,,,,,,,
2026,2070365332529.4778,,,,,,,,,
2027,2243381153768.9966,,,,,,,,,
2028,2412614541654.1367,,,,,,,,,
2029,2576626294765.9653,,,,,,,,,
2030,2733977211685.5503,,,,,,,,,
2031,2883228090993.958,,,,,,,,,
2032,3022939731272.257,,,,,,,,,
2033,3151672931101.5127,,,,,,,,,
2034,3267988489062.794,,,,,,,,,
2035,3370447203737.167,,,,,,,,,
2036,3457609873705.6997,,,,,,,,,
2037,3528037297549.4585,,,,,,,,,
2038,3580290273849.5127,,,,,,,,,
2039,3612929601186.927,,,,,,,,,
2040,3624516078142.7705,,,,,,,,,
2041,3613610503298.1084,,,,,,,,,
2042,3578773675234.0107,,,,,,,,,
2043,3518566392531.543,,,,,,,,,
2044,3431549453771.772,,,,,,,,,
2045,3316283657535.7666,,,,,,,,,
2046,3171329802404.593,,,,,,,,,
2047,2995248686959.3184,,,,,,,,,
2048,2786601109781.0103,,,,,,,,,
2049,2543947869450.7354,,,,,,,,,
2050,2265849764549.5635,,,,,,,,,
2051,1950867593658.5596,,,,,,,,,
2052,1597562155358.7896,,,,,,,,,
2053,1204494248231.3223,,,,,,,,,
2054,770224670857.2266,,,,,,,,,
2055,293314221817.56836,,,,,,,,,
2056,0.0,,,,,,,,,
2057,0.0,,,,,,,,,
2058,0.0,,,,,,,,,
2059,0.0,,,,,,,,,
2060,0.0,,,,,,,,,
