Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,252995954442.14926,,,,,,,,,
2015,291452226281.2279,,,,,,,,,
2016,334130932328.0937,,,,,,,,,
2017,380874657580.0638,,,,,,,,,
2018,383153583719.27997,,,,,,,,,
2019,487834483160.95044,,,,,,,,,
2020,601848491831.6753,,,,,,,,,
2021,733168953090.7043,,,,,,,,,
2022,881559486160.1765,,,,,,,,,
2023,1046783710262.2302,,,,,,,,,
2024,1228605244619.0042,,,,,,,,,
2025,1426787708452.6367,,,,,,,,,
2026,1641094720985.267,,,,,,,,,
2027,1871289901439.033,,,,,,,,,
2028,2117136869036.0732,,,,,,,,,
2029,2378399242998.5273,,,,,,,,,
2030,2654840642548.533,,,,,,,,,
2031,2946224686908.2285,,,,,,,,,
2032,3252314995299.754,,,,,,,,,
2033,3572875186945.247,,,,,,,,,
2034,3907668881066.8457,,,,,,,,,
2035,4256459696886.6895,,,,,,,,,
2036,4619011253626.917,,,,,,,,,
2037,4995087170509.666,,,,,,,,,
2038,5384451066757.076,,,,,,,,,
2039,5786866561591.285,,,,,,,,,
2040,6202097274234.433,,,,,,,,,
2041,6629906823908.655,,,,,,,,,
2042,5847806837756.606,,,,,,,,,
2043,4798274137130.371,,,,,,,,,
2044,3653272083931.4062,,,,,,,,,
2045,3048083002238.3145,,,,,,,,,
2046,1834100597993.74,,,,,,,,,
2047,1258244370444.0247,,,,,,,,,
2048,331663025532.96735,,,,,,,,,
2049,0.00309228198602795,,,,,,,,,
2050,0.00309228198602795,,,,,,,,,
2051,0.00309228198602795,,,,,,,,,
2052,0.00309228198602795,,,,,,,,,
2053,0.00309228198602795,,,,,,,,,
2054,0.00309228198602795,,,,,,,,,
2055,0.00309228198602795,,,,,,,,,
2056,0.00309228198602795,,,,,,,,,
2057,0.00309228198602795,,,,,,,,,
2058,0.00309228198602795,,,,,,,,,
2059,0.00309228198602795,,,,,,,,,
2060,0.00309228198602795,,,,,,,,,
