Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,48852107921970.13,,,,,,,,,
2013,50908327638277.61,,,,,,,,,
2014,53424132222589.28,,,,,,,,,
2015,55539589218484.125,,,,,,,,,
2016,57604666595952.695,,,,,,,,,
2017,59710250669708.19,,,,,,,,,
2018,61831276622757.41,,,,,,,,,
2019,63970871609206.15,,,,,,,,,
2020,66143564317839.0,,,,,,,,,
2021,68283852741070.37,,,,,,,,,
2022,70455377030388.16,,,,,,,,,
2023,72656339025792.38,,,,,,,,,
2024,74889930392520.36,,,,,,,,,
2025,77152457508131.5,,,,,,,,,
2026,79469810315418.8,,,,,,,,,
2027,81825719644934.8,,,,,,,,,
2028,84231803199678.38,,,,,,,,,
2029,86692581429293.28,,,,,,,,,
2030,89198671861518.67,,,,,,,,,
2031,91795994545223.8,,,,,,,,,
2032,94447696193926.44,,,,,,,,,
2033,97172959142024.55,,,,,,,,,
2034,99977484297507.95,,,,,,,,,
2035,102851655761602.39,,,,,,,,,
2036,105845497726376.7,,,,,,,,,
2037,108918188549156.9,,,,,,,,,
2038,112088861341284.0,,,,,,,,,
2039,115361256451906.11,,,,,,,,,
2040,118736456243571.94,,,,,,,,,
2041,122226696561616.38,,,,,,,,,
2042,125828153776609.78,,,,,,,,,
2043,129547395261007.23,,,,,,,,,
2044,133388193946196.34,,,,,,,,,
2045,137398769798747.61,,,,,,,,,
2046,141449353557974.8,,,,,,,,,
2047,145677151694086.3,,,,,,,,,
2048,150041123002269.53,,,,,,,,,
2049,154544613201183.7,,,,,,,,,
2050,159167860298816.38,,,,,,,,,
2051,163983465812860.16,,,,,,,,,
2052,168925602440007.7,,,,,,,,,
2053,174020303581862.38,,,,,,,,,
2054,179270373026328.16,,,,,,,,,
2055,184678675955592.94,,,,,,,,,
2056,190248199300381.75,,,,,,,,,
2057,195982135216837.62,,,,,,,,,
2058,201883794466337.94,,,,,,,,,
2059,207956631389140.38,,,,,,,,,
2060,214204045786526.0,,,,,,,,,
