Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,51016489468580.68,,,,,,,,,
2013,52753698129830.734,,,,,,,,,
2014,54818653721378.23,,,,,,,,,
2015,56607716267455.18,,,,,,,,,
2016,58343488809003.39,,,,,,,,,
2017,60111598562283.445,,,,,,,,,
2018,61881961820511.1,,,,,,,,,
2019,63653046010794.39,,,,,,,,,
2020,65434491918082.79,,,,,,,,,
2021,67156303774030.28,,,,,,,,,
2022,68876317230213.41,,,,,,,,,
2023,70587166056993.05,,,,,,,,,
2024,72286362949674.48,,,,,,,,,
2025,73964626252197.05,,,,,,,,,
2026,75642471829837.28,,,,,,,,,
2027,77298321111548.73,,,,,,,,,
2028,78938367861721.22,,,,,,,,,
2029,80561706449776.83,,,,,,,,,
2030,82153560006130.17,,,,,,,,,
2031,83754534485131.42,,,,,,,,,
2032,85322448405147.84,,,,,,,,,
2033,86871027963330.3,,,,,,,,,
2034,88400436949408.31,,,,,,,,,
2035,89895556281935.19,,,,,,,,,
2036,91401057348835.95,,,,,,,,,
2037,92870862280696.81,,,,,,,,,
2038,94318821771246.45,,,,,,,,,
2039,95743474188455.55,,,,,,,,,
2040,97140796590837.27,,,,,,,,,
2041,98517942833500.48,,,,,,,,,
2042,99866118614901.28,,,,,,,,,
2043,101187127424172.81,,,,,,,,,
2044,102480117250391.66,,,,,,,,,
2045,103788725215728.95,,,,,,,,,
2046,104978551695522.61,,,,,,,,,
2047,106182206100572.86,,,,,,,,,
2048,107354221189698.28,,,,,,,,,
2049,108493620736178.33,,,,,,,,,
2050,109576411725936.1,,,,,,,,,
2051,110670862529943.58,,,,,,,,,
2052,111707011574790.05,,,,,,,,,
2053,112707184029814.05,,,,,,,,,
2054,113670710255203.12,,,,,,,,,
2055,114596894839523.22,,,,,,,,,
2056,115484939278082.45,,,,,,,,,
2057,116334016707872.25,,,,,,,,,
2058,117143379045976.44,,,,,,,,,
2059,117912292221371.9,,,,,,,,,
2060,118640010747538.27,,,,,,,,,
