Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,51381494257447.125,,,,,,,,,
2013,53039242879725.05,,,,,,,,,
2014,55042108780265.93,,,,,,,,,
2015,56782997007997.95,,,,,,,,,
2016,58485899359273.54,,,,,,,,,
2017,60236059066430.59,,,,,,,,,
2018,62003009410510.16,,,,,,,,,
2019,63784835745458.9,,,,,,,,,
2020,65590809621140.33,,,,,,,,,
2021,67350407316366.3,,,,,,,,,
2022,69121140607598.06,,,,,,,,,
2023,70895226758245.52,,,,,,,,,
2024,72669751685217.86,,,,,,,,,
2025,74435000375984.0,,,,,,,,,
2026,76211057065557.78,,,,,,,,,
2027,77975915502986.0,,,,,,,,,
2028,79735336091043.34,,,,,,,,,
2029,81487979083834.03,,,,,,,,,
2030,83218632536791.38,,,,,,,,,
2031,84967467225403.02,,,,,,,,,
2032,86691870816236.06,,,,,,,,,
2033,88405150680749.44,,,,,,,,,
2034,90107063403396.69,,,,,,,,,
2035,91782085767052.16,,,,,,,,,
2036,93474483088845.4,,,,,,,,,
2037,95137763285084.64,,,,,,,,,
2038,96785357285070.89,,,,,,,,,
2039,98415375036197.86,,,,,,,,,
2040,100023366498458.81,,,,,,,,,
2041,101616069541499.53,,,,,,,,,
2042,103184282598886.08,,,,,,,,,
2043,104729397906718.86,,,,,,,,,
2044,106250155050587.86,,,,,,,,,
2045,107789783591328.73,,,,,,,,,
2046,109213477740845.16,,,,,,,,,
2047,110653440328777.62,,,,,,,,,
2048,112063796773076.97,,,,,,,,,
2049,113443163522191.72,,,,,,,,,
2050,114767142774147.97,,,,,,,,,
2051,116103601561971.97,,,,,,,,,
2052,117382183097930.16,,,,,,,,,
2053,118624823320124.83,,,,,,,,,
2054,119830469140366.27,,,,,,,,,
2055,120998043074505.98,,,,,,,,,
2056,122126361060849.8,,,,,,,,,
2057,123214210883362.5,,,,,,,,,
2058,124260465805576.8,,,,,,,,,
2059,125264016259950.67,,,,,,,,,
2060,126223742833348.9,,,,,,,,,
