Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,50894088131525.766,,,,,,,,,
2013,52705811612540.32,,,,,,,,,
2014,54824877139581.21,,,,,,,,,
2015,56648676667511.17,,,,,,,,,
2016,58400409080352.664,,,,,,,,,
2017,60166592755027.49,,,,,,,,,
2018,61918032857146.98,,,,,,,,,
2019,63654085018174.09,,,,,,,,,
2020,65385275602541.27,,,,,,,,,
2021,67042575560139.58,,,,,,,,,
2022,68684748856523.586,,,,,,,,,
2023,70305359648819.34,,,,,,,,,
2024,71902860208228.84,,,,,,,,,
2025,73468915261101.23,,,,,,,,,
2026,75024983596145.8,,,,,,,,,
2027,76550421944250.73,,,,,,,,,
2028,78052362072306.11,,,,,,,,,
2029,79530833892613.22,,,,,,,,,
2030,80971993719218.86,,,,,,,,,
2031,82417377260212.38,,,,,,,,,
2032,83825724398683.17,,,,,,,,,
2033,85211666106511.42,,,,,,,,,
2034,86576255485200.27,,,,,,,,,
2035,87905257143234.73,,,,,,,,,
2036,89244226001141.73,,,,,,,,,
2037,90547973741722.02,,,,,,,,,
2038,91831243250661.06,,,,,,,,,
2039,93093470159294.23,,,,,,,,,
2040,94331523164816.06,,,,,,,,,
2041,95553432610148.9,,,,,,,,,
2042,96751268509501.73,,,,,,,,,
2043,97927698759552.52,,,,,,,,,
2044,99082729087271.98,,,,,,,,,
2045,100260849473517.53,,,,,,,,,
2046,101328507614908.06,,,,,,,,,
2047,102419156097504.69,,,,,,,,,
2048,103488166654380.19,,,,,,,,,
2049,104535396815589.25,,,,,,,,,
2050,105537679804318.69,,,,,,,,,
2051,106564101932280.58,,,,,,,,,
2052,107545509317871.67,,,,,,,,,
2053,108505024989115.97,,,,,,,,,
2054,109442767788621.9,,,,,,,,,
2055,110358824645212.1,,,,,,,,,
2056,111253176138073.28,,,,,,,,,
2057,112125768127233.44,,,,,,,,,
2058,112976614656662.77,,,,,,,,,
2059,113805735569325.19,,,,,,,,,
2060,114613131868780.34,,,,,,,,,
