Year,World
2012,31940822528863.98
2013,33155301078379.336
2014,19080518692757.59
2015,19961771675109.516
2016,20840182856137.85
2017,21753965394906.54
2018,22713185124947.547
2019,21569155033631.688
2020,21589372382050.89
2021,21607891891731.25
2022,20471560897037.152
2023,20238127287594.094
2024,19594863467480.387
2025,18781939443455.45
2026,18370211509308.87
2027,17888333765573.145
2028,17332316679669.428
2029,16694052922213.158
2030,15967582351358.406
2031,15417845120238.344
2032,14832016631944.984
2033,14215150347861.7
2034,13566892357796.547
2035,12882184371592.805
2036,12172739680197.297
2037,11423916517594.307
2038,10637967477369.197
2039,9812470634988.256
2040,8565764130340.929
2041,7616007217544.519
2042,6615720649954.874
2043,5508178443033.826
2044,4295469297084.8394
2045,3612499680236.044
2046,2310089675564.5425
2047,1634487943755.9792
2048,1146066907702.1938
2049,522135673716.5897
2050,325628.8564443821
2051,465593.2971218135
2052,530130.3135638591
2053,461058.12725727446
2054,201363.52759436704
2055,0.003
2056,0.003
2057,0.003
2058,0.003
2059,1143733.930803137
2060,0.003
