Year,World
2012,31940822528863.98
2013,33155301078379.336
2014,19080518692757.59
2015,19974912352007.363
2016,20888091087813.49
2017,21836283367056.918
2018,22829893278906.98
2019,22078977894833.582
2020,22441120551247.87
2021,22991441215637.996
2022,23736209358905.508
2023,24011527664599.84
2024,24276663053279.125
2025,24523605217998.56
2026,24760893071276.52
2027,24972702660798.33
2028,25159067088106.61
2029,25315789172145.082
2030,25033335111792.277
2031,24817864422941.117
2032,24590637212186.688
2033,24359430626797.52
2034,24124618412536.91
2035,23869272333745.016
2036,23656229696472.69
2037,23423965638924.773
2038,23179825913554.094
2039,23009043119919.38
2040,22910468208320.65
2041,22960572734366.582
2042,23049277014168.414
2043,23173289347869.64
2044,23409301692965.613
2045,23655628457466.273
2046,23850745493934.8
2047,24054886748877.44
2048,24246992219974.223
2049,24432533922303.68
2050,24857115091548.184
2051,25333344503372.062
2052,25827429247763.785
2053,26355308227518.61
2054,26918044556293.76
2055,27516727548877.9
2056,28152467569716.523
2057,28826432059424.457
2058,29539847216409.777
2059,29869455799484.71
2060,30204292980540.777
