Year,World
2012,31940822528863.98
2013,33155301078379.336
2014,19080518692757.59
2015,19995856636696.016
2016,20928630673439.816
2017,21895966254694.164
2018,22908321452144.61
2019,22246767534168.867
2020,22852392501035.605
2021,23538645997451.348
2022,24092398214056.953
2023,24642525063207.547
2024,25187033489419.797
2025,25707335003803.19
2026,26247956803125.047
2027,26823329178333.75
2028,27404628890348.855
2029,27992052015406.137
2030,28565489749575.77
2031,29060278953700.074
2032,29267950389790.65
2033,29481464048848.996
2034,29701706041849.633
2035,29902276289267.066
2036,30175516854556.41
2037,30431093080797.914
2038,30687350501759.97
2039,31023569940169.555
2040,31451001112934.92
2041,32004945674817.203
2042,32619839808987.137
2043,33281064212185.223
2044,34060156444744.504
2045,34876703910410.24
2046,35634021355675.62
2047,36428597490859.234
2048,37228033322594.12
2049,38037916431331.375
2050,38846311176712.96
2051,39708243871516.39
2052,40562395828170.625
2053,41431844114095.46
2054,42316270016472.234
2055,43215362302714.59
2056,44128810623283.875
2057,45056351122834.21
2058,45997773916168.72
2059,46952910042651.55
2060,47930310963296.305
