"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,"Global/Ford Galaxy/S-Max, mean",1  - Peer Reviewed,2012,,150.0,1000 km,279801.9300465061,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,"Global/Generic ICEV (EIOLCA, US, 1997, $16k)",1  - Peer Reviewed,2012,,200.0,1000 km,373069.24006200815,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,Global/Mercedes S 350,1  - Peer Reviewed,2012,,300.0,1000 km,559603.8600930122,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,"Global/VW Passat, mean",1  - Peer Reviewed,2012,,150.0,1000 km,279801.9300465061,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,Global/Generic US family sedan,1  - Peer Reviewed,2012,,192.0,1000 km,358146.4704595278,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,Global/Mercedes C class,1  - Peer Reviewed,2012,,200.0,1000 km,373069.24006200815,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,Global/Generic ICEV (EIOLCA),1  - Peer Reviewed,2012,,240.0,1000 km,447683.08807440975,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,"Global/VW Golf, mean",1  - Peer Reviewed,2012,,150.0,1000 km,279801.9300465061,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,Global/Conventional diesel ICEV,1  - Peer Reviewed,2012,,150.0,1000 km,279801.9300465061,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,Global/Conventional gasoline ICEV,1  - Peer Reviewed,2012,,150.0,1000 km,279801.9300465061,passenger-km/Car,,,False
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,Global/Generic ICEV (high),1  - Peer Reviewed,2012,,256.0,1000 km,477528.62727937044,passenger-km/Car,,,False
"Lu, S. (2006). Vehicle survivability and travel mileage schedules (No. HS-809 952).",http://www-nrd.nhtsa.dot.gov/Pubs/809952.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2006,,152137.0,miles,456712.7965085566,passenger-km/Car,,,False
"Zheng, J., Zhou, Y., Yu, R., Zhao, D., Lu, Z., & Zhang, P. (2019). Survival rate of China passenger vehicles: A data-driven approach. Energy Policy, 129, 587–597.",https://doi.org/10.1016/j.enpol.2019.02.037,China,China,1  - Peer Reviewed,2019,,300.0,1000 km,559603.8600930122,passenger-km/Car,,,False
"Zheng, J., Zhou, Y., Yu, R., Zhao, D., Lu, Z., & Zhang, P. (2019). Survival rate of China passenger vehicles: A data-driven approach. Energy Policy, 129, 587–597.",https://doi.org/10.1016/j.enpol.2019.02.037,China,China,1  - Peer Reviewed,2019,,12.9,year,343384.0775838234,passenger-km/Car,,,False
ITF(excel表格）,https://www.itf-oecd.org/sites/default/files/life-cycle-assessment-calculations-2020.xlsx,World,World,2 - Public Sector/ Multilateral Agency,2020,,181.5,1000 km,338560.3353562724,passenger-km/Car,,,False
ITF,https://www.itf-oecd.org/sites/default/files/life-cycle-assessment-calculations-2020.xlsx,World,World,3 - Public Sector/ Multilateral Agency,2020,,15.0,year,399283.81114398065,passenger-km/Car,,,False
"Choma, E. F., & Ugaya, C. M. L. (2017). Environmental impact assessment of increasing electric vehicles in the Brazilian fleet. Journal of Cleaner Production, 152, 497–507. https://doi.org/10.1016/j.jclepro.2015.07.091",https://www.sciencedirect.com/science/article/pii/S0959652615010203,Latin America,Brazil,2 - Public Sector/ Multilateral Agency,2017,,250000.0,km,466336.5500775102,passenger-km/Car,,,False
"Bieker, G., 2021. A global comparison of the life-cycle greenhouse gas emissions of combustion engine and electric passenger cars 86",https://theicct.org/sites/default/files/publications/Global-LCA-passenger-cars-jul2021_0.pdf,EU,EU,2 - Public Sector/ Multilateral Agency,2020,,18.0,year,479140.5733727768,passenger-km/Car,,,False
"Bieker, G., 2021. A global comparison of the life-cycle greenhouse gas emissions of combustion engine and electric passenger cars 86",https://theicct.org/sites/default/files/publications/Global-LCA-passenger-cars-jul2021_0.pdf,China,China,2 - Public Sector/ Multilateral Agency,2020,,15.0,year,399283.81114398065,passenger-km/Car,,,False
"Bieker, G., 2021. A global comparison of the life-cycle greenhouse gas emissions of combustion engine and electric passenger cars 86",https://theicct.org/sites/default/files/publications/Global-LCA-passenger-cars-jul2021_0.pdf,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,18.0,year,479140.5733727768,passenger-km/Car,,,False
