"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Aguirre, K., Eisenhardt, L., Lim, C., Nelson, B., Norring, A., Slowik, P., & Tu, N. (2012). Lifecycle analysis comparison of a battery electric vehicle and a conventional gasoline vehicle. Full Lifetime Cost Analysis of Battery, Plug-in Hybrid and FCEVs in China in the Near Future, Frontiers in Energy, 6, 107-111.",http://www.environment.ucla.edu/media/files/BatteryElectricVehicleLCA2012-rh-ptd.pdf,OECD90,USA - California ,2 - Public Sector/ Multilateral Agency,2012,,50.0,miles/gallon,0.5020227403628165,%,,Diesel fuel,False
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Average Hybrid,3 - For Profit,2013,,43.0,miles/gallon,0.4209566748404844,%,,E10 Gasoline,False
EIA Dataset (2015) Annual Energy Outlook Browser,http://www.eia.gov/oiaf/aeo/tablebrowser/#release=AEO2015&subject=15-AEO2015&table=50-AEO2015&region=0-0&cases=ref2015-d021915a,OECD90,USA - ,2 - Public Sector/ Multilateral Agency,2015,,50.89,miles/gallon,0.5107317158211993,%,,Gasoline,False
"EPA (2015) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2015",https://www.autonews.com/assets/PDF/CA1029731216.PDF,OECD90,USA - ,2 - Public Sector/ Multilateral Agency,2015,,42.0,miles/gallon,0.4071699290033531,%,,Petrol production and combustion - 2.31 kg CO2e/L for combustion  0.46 kg CO2e/L for production,False
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Ford Fusion Hybrid,3 - For Profit,2013,,39.0,miles/gallon,0.3615676158497648,%,,,False
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Honda Civic Hybrid,3 - For Profit,2013,,44.0,miles/gallon,0.4341167504122916,%,,,False
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Toyota Camry Hybrid XLE,3 - For Profit,2013,,40.0,miles/gallon,0.37752842545352067,%,,,False
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Toyota Prius IV,3 - For Profit,2013,,50.0,miles/gallon,0.5020227403628165,%,,,False
UNEP (2009) Hybrid Electric Vehicles: An overview of current technology and its application in developing and transitional countries,https://www.fiafoundation.org/transport/gfei/autotool/approaches/technology/Hybrid%20Electric%20Vehicles%20final%20cs2.pdf,World,Developing Countries ,2 - Public Sector/ Multilateral Agency,2009,,20.0,km/L,0.47072025349541796,%,,,False
"Petrauskienė, K., Galinis, A., Kliaugaitė, D., Dvarionienė, J., 2021. Comparative Environmental Life Cycle and Cost Assessment of Electric, Hybrid, and Conventional Vehicles in Lithuania. Sustainability 13, 957.",https://doi.org/10.3390/su13020957,EU,Lithuania,1  - Peer Reviewed,2021,,22.72727273,km/L,0.5342338231318599,%,,,False
"EIA, 2021. EIA - Annual Energy Outlook 2021 ",https://www.eia.gov/outlooks/aeo/tables_ref.php,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,48.02,miles/gallon,0.48148973382217475,%,,,False
"Kiseleva, E.V., Kaminskiy, N.S., Presnykov, V.A., 2020. Study of Fuel Efficiency of Hybrid Vehicles. IOP Conf. Ser. Earth Environ. Sci. 459, 022086.",https://doi.org/10.1088/1755-1315/459/2/022086,OECD90,Russia Federation,1  - Peer Reviewed,2020,,22.31589388,km/L,0.5256477295055304,%,,,False
"METI, 2020. Fuel Efficiency Standards for Passenger Vehicles in FY2030 Formulated ",https://www.meti.go.jp/english/press/2020/0331_009,World,World,2 - Public Sector/ Multilateral Agency,2020,,19.2,km/L,0.44866693072439373,%,,,False
